ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution
1853,-0.25,27,0.35,0.6779583333,0.0517105111,0.475644818401729
2215,-0.125,27,0.35,0.6985,0.0268338965,0.493332404882828
2442,-0.0625,27,0.35,0.7263333333,0.0140390855,0.502812756516944
2710,-0.03125,27,0.35,0.75,0.0073502076,0.483811042312382
2938,-0.015625,27,0.35,0.792,0.0039871675,0.433503183793138
3138,-0.0078125,27,0.35,0.9226666667,0.0023665797,0.32064871202826
3352,-0.00390625,27,0.35,1.2013333333,0.0016349516,-0.0650435623286235
3634,-0.001953125,27,0.35,Inf,0.0011380491,NaN
3922,-0.0029296875,27,0.35,Inf,0.0013359249,NaN
4214,-0.0034179688,27,0.35,1.2066666667,0.0014750021,-0.218360633696704
4457,-0.0031738281,27,0.35,1.2346666667,0.0014022455,-0.313605771771285
4742,-0.0030517578,27,0.35,Inf,0.0013718132,NaN
5036,-0.003112793,27,0.35,Inf,0.0013871127,NaN
5333,-0.0031433105,27,0.35,1.2413333333,0.0013943673,-0.324999415652398
5624,-0.0031280518,27,0.35,1.2546666667,0.0013907492,-0.335783173380228
5913,-0.0031204224,27,0.35,Inf,0.0013864259,NaN
5643,-0.25,27,0.795,2.41725,0.1865921,0.47920523802982
5914,-0.125,27,0.795,2.5276666667,0.0985686274,0.471618019527839
0135,-0.0625,27,0.795,3.138,0.0540472244,0.498945802197274
0417,-0.03125,27,0.795,3.512,0.0309623821,0.517960211758659
0715,-0.015625,27,0.795,4.032,0.0204497012,0.708290341069669
1036,-0.0078125,27,0.795,4.6426666667,0.015533383,0.750532203527091
1422,-0.00390625,27,0.795,5.188,0.0136717567,0.228436151298405
1833,-0.001953125,27,0.795,Inf,0.0132809922,NaN
2253,-0.0029296875,27,0.795,Inf,0.0134412074,NaN
2708,-0.0034179688,27,0.795,Inf,0.0135428902,NaN
3120,-0.0036621094,27,0.795,5.2266666667,0.01360763,0.14782193071991
3529,-0.0035400391,27,0.795,5.2493333333,0.0135705849,0.098734234741103
3939,-0.0034790039,27,0.795,5.2613333333,0.0135585011,0.0721646527603233
4350,-0.0034484863,27,0.795,Inf,0.0135493738,NaN
4802,-0.0034637451,27,0.795,Inf,0.0135515205,NaN
5203,-0.0034713745,27,0.795,5.26,0.0135607454,0.0812087475892331
5616,-0.25,27,0.9,3.4078333333,0.2270188624,0.643635648528795
5914,-0.125,27,0.9,3.525,0.1205743219,0.678596421948808
0210,-0.0625,27,0.9,3.7273333333,0.0665945813,0.741306224279687
0456,-0.03125,27,0.9,4.0986666667,0.0397350752,0.826235849474546
0757,-0.015625,27,0.9,4.616,0.0266721178,0.867016597332839
1119,-0.0078125,27,0.9,5.132,0.0214177003,0.982962508907386
1501,-0.00390625,27,0.9,5.6573333333,0.0197239914,0.84585946976404
1903,-0.001953125,27,0.9,6.0826666667,0.019382352,0.806016302090304
2323,-0.0009765625,27,0.9,Inf,0.0192944253,NaN
2751,-0.0014648438,27,0.9,Inf,0.0193341934,NaN
3217,-0.0017089844,27,0.9,6.1506666667,0.0193542647,0.774294951472517
3637,-0.0015869141,27,0.9,6.196,0.0193418394,0.755993019245136
4100,-0.0015258789,27,0.9,6.2266666667,0.0193376997,0.760266459463186
4525,-0.0014953613,27,0.9,Inf,0.019336651,NaN
4950,-0.0015106201,27,0.9,Inf,0.0193385714,NaN
5409,-0.0015182495,27,0.9,6.2173333333,0.0193402685,0.792729539128356
5836,-0.25,27,0.95,3.6278333333,0.247158419,0.751276403717244
0138,-0.125,27,0.95,3.765,0.1320225724,0.784285194095867
0421,-0.0625,27,0.95,3.9793333333,0.07358819,0.859421743772631
0706,-0.03125,27,0.95,4.3493333333,0.0439213016,0.881630218227075
1005,-0.015625,27,0.95,4.9613333333,0.0307819,0.976947943314724
1326,-0.0078125,27,0.95,5.472,0.0252109663,1.04605696527244
1707,-0.00390625,27,0.95,Inf,0.0232187037,NaN
2132,-0.005859375,27,0.95,5.8786666667,0.0241233085,0.856410486189107
2526,-0.0048828125,27,0.95,6.4146666667,0.0236392533,0.544867394267519
2942,-0.0043945313,27,0.95,Inf,0.023418739,NaN
3406,-0.0046386719,27,0.95,Inf,0.0235192295,NaN
3830,-0.0047607422,27,0.95,Inf,0.0235802645,NaN
4253,-0.0048217773,27,0.95,Inf,0.0236113555,NaN
4714,-0.0048522949,27,0.95,Inf,0.0236166388,NaN
5133,-0.0048675537,27,0.95,Inf,0.0236258918,NaN
5537,-0.0048751831,27,0.95,6.3706666667,0.0236431805,0.558254277373684
5934,-0.25,27,0.995,3.8185,0.2660827464,0.829917631565782
0214,-0.125,27,0.995,3.9663333333,0.1429670251,0.876253451511037
0444,-0.0625,27,0.995,4.1806666667,0.0794796524,0.909115771981447
0717,-0.03125,27,0.995,4.58,0.0481813207,0.938302052073116
1003,-0.015625,27,0.995,5.076,0.0337352634,0.98673647026864
1306,-0.0078125,27,0.995,5.9866666667,0.0281439168,0.806144567949919
1639,-0.00390625,27,0.995,Inf,0.0264709956,NaN
2046,-0.005859375,27,0.995,6.3386666667,0.0272843423,0.865915253889101
2431,-0.0048828125,27,0.995,6.568,0.0268886696,0.880702699772564
2826,-0.0043945313,27,0.995,Inf,0.0266667766,NaN
3232,-0.0046386719,27,0.995,6.6453333333,0.0267716502,0.860478299007484
3626,-0.0045166016,27,0.995,6.6906666667,0.0267211604,0.855245459238882
4022,-0.0044555664,27,0.995,6.7106666667,0.0266990166,0.861993954298821
4421,-0.0044250488,27,0.995,6.7413333333,0.0266847633,0.852425798087879
4825,-0.00440979,27,0.995,6.7786666667,0.0266769033,0.842946396269035
5234,-0.0044021606,27,0.995,Inf,0.0266692711,NaN
5646,-0.25,27,1.75,7.825,0.6520445255,0.989069075130498
5943,-0.125,27,1.75,8.466,0.3661321716,0.96755218016094
0239,-0.0625,27,1.75,9.6946666667,0.2248418169,0.962893086056058
0558,-0.03125,27,1.75,11.096,0.1600912743,0.984033486337331
0941,-0.015625,27,1.75,12.9813333333,0.1350469411,0.966318600420298
1403,-0.0078125,27,1.75,14.272,0.1272631265,0.935874509388656
1849,-0.00390625,27,1.75,14.924,0.1250944226,0.87924981708025
2348,-0.001953125,27,1.75,Inf,0.1244984408,NaN
2856,-0.0029296875,27,1.75,15.1293333333,0.1247456086,0.72973552715506
3358,-0.0024414063,27,1.75,15.2453333333,0.1246068111,0.59019354659808
3903,-0.0021972656,27,1.75,15.3173333333,0.1245557521,0.475058991232763
4412,-0.0020751953,27,1.75,15.3693333333,0.1245256868,0.384709759421206
4920,-0.0020141602,27,1.75,15.3826666667,0.1245174477,0.404177044196195
5428,-0.0019836426,27,1.75,Inf,0.1245035051,NaN
5937,-0.0019989014,27,1.75,15.3986666667,0.1245110816,0.379669001544455
0445,-0.001991272,27,1.75,15.4133333333,0.1245113226,0.366104489751871
0953,-0.25,27,3,17.5676666667,1.5218564906,0.989458834470089
1330,-0.125,27,3,19.616,0.9418643083,0.99768847061354
1727,-0.0625,27,3,22.7413333333,0.6767286664,0.996504045520499
2159,-0.03125,27,3,26.4053333333,0.5758610605,0.986784067657793
2711,-0.015625,27,3,29.0546666667,0.5445550317,0.964555125542187
3253,-0.0078125,27,3,30.788,0.5360804331,0.916689490497706
3857,-0.00390625,27,3,Inf,0.5339852504,NaN
4510,-0.005859375,27,3,31.2013333333,0.5348804613,0.865774733682346
5120,-0.0048828125,27,3,31.4306666667,0.5343892216,0.803428895808645
5731,-0.0043945313,27,3,31.576,0.534177153,0.746775967507288
0345,-0.0041503906,27,3,Inf,0.5340793198,NaN
1000,-0.0042724609,27,3,31.624,0.5341349832,0.723780397295434
1613,-0.0042114258,27,3,31.6173333333,0.534118481,0.762524465978205
2226,-0.0041809082,27,3,Inf,0.5340985548,NaN
2841,-0.004196167,27,3,Inf,0.5341036009,NaN
3456,-0.0042037964,27,3,Inf,0.5340973718,NaN
